movie_title,rating
The Warriors Way,3
The Stepford Wives,4
16 Blocks,5
Hansel & Gretel: Witch Hunters,5
The Maze Runner,4
Highlander: The Final Dimension,5
"Big Mommas: Like Father, Like Son",5
Dredd,5
Heist,4
Bill & Teds Bogus Journey,4
Star Trek Into Darkness,4
Kingdom of Heaven,5
Independence Day: Resurgence,3
Revolution            ,4
Shinjuku Incident,4
The Fourth Kind,5
The Dark Knight Rises,5
E.T. the Extra-Terrestrial,4
Star Trek: Generations,5
"I, Robot",5
Les visiteurs,4
Turbulence,4
Con Air,4
Bad Boys,4
Extreme Ops,3
The Amazing Spider-Man,4
The Dark Knight Rises,5
Hudson Hawk,5
Hero,4
Blindness,5
The Gunman,4
Dragon Wars: D-War,5
The Good Thief,4
Knock Off,4
Monsters,4
Ghost Rider,5
Man of Steel,5
The Expendables 2,3
The Streets of San Francisco            ,5
Home,5
Star Trek,1
Monsters University,2
Goosebumps,2
The Smurfs 2,1
The Lone Ranger,2
Rango,1
Pirates of the Caribbean: The Curse of the Black Pearl,3
Pirates of the Caribbean: The Curse of the Black Pearl,1
Scooby-Doo 2: Monsters Unleashed,3
Dylan Dog: Dead of Night,1
Rango,2
Rise of the Guardians,2
Monsters University,3
The Smurfs 2,2
Rise of the Guardians,1
Pirates of the Caribbean: The Curse of the Black Pearl,1
The Lone Ranger,2
Monsters University,1
The Mexican,1
The Mexican,2
The Host,2
Gullivers Travels,1
The Host,3
The Mexican,1
Rise of the Guardians,2
The Mexican,1
The Mexican,1
Gullivers Travels,1
Dylan Dog: Dead of Night,1
The Host,2
Pirates of the Caribbean: At Worlds End,2
Goosebumps,1
Goosebumps,2
The Lone Ranger,1
Scooby-Doo 2: Monsters Unleashed,1
Pirates of the Caribbean: The Curse of the Black Pearl,2
Gullivers Travels,1
Goosebumps,1
The Smurfs 2,1
Pirates of the Caribbean: The Curse of the Black Pearl,2
