movie_title,rating
Red Lights,5
Final Destination 2,5
Supernova,5
Halloween: The Curse of Michael Myers,4
Supernova,4
Roar,5
Insidious: Chapter 2,5
Hollow Man,4
Unfriended,4
Carriers,5
Bless the Child,4
Videodrome,4
Friday the 13th Part 2,5
The Wolfman,5
Gothika,4
Dreamcatcher,5
Fabled,5
The Others,5
Sanctuary; Quite a Conundrum,5
Banshee Chapter,4
Creature            ,5
Malevolence,5
Ravenous,5
The Collection,4
The Cell,5
The Descent,5
The Relic,4
Bats,4
Wrong Turn,5
Cheap Thrills,3
Train,5
Cheap Thrills,5
Circle,5
Split Second,4
Black Rock,4
The Cave,5
The Craft,4
Disturbing Behavior,4
Green Room,5
Videodrome,5
2 Fast 2 Furious,1
Ghosts of Mars,1
Yu-Gi-Oh! Duel Monsters            ,1
Total Recall,1
Blade II,1
Minority Report,2
Cliffhanger,1
Victor Frankenstein,1
Terminator 2: Judgment Day,2
Hit and Run,2
Tae Guk Gi: The Brotherhood of War,2
Krull,1
Dungeons & Dragons: Wrath of the Dragon God,1
The Bourne Supremacy,2
Jekyll and Hyde... Together Again,1
H.,3
The Art of War,2
The Expendables 3,1
The Quick and the Dead,2
Flight of the Phoenix,1
Robot & Frank,2
Warlock,1
Patriot Games,1
The Hunt for Red October,1
Chronicle,2
Victor Frankenstein,2
Big Mommas House,2
Soldier,1
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,2
Echo Dr.,2
Riddick,1
The Running Man,1
Crank: High Voltage,3
"The Beast from 20,000 Fathoms",2
Star Trek: The Motion Picture,2
Repo Men,1
Abduction,2
The Invasion,2
Blindness,2
Firefox,1
